name,mass,distance
HD 14787 b,356.28743,119.1370000
HD 147873 b,1633.64620,109.0550000
HD 147873 c,731.00900,109.0550000
HD 148156 b,270.14400,57.1289000
HD 148164 b,390.93090,77.1971000
HD 148164 c,1640.00280,77.1971000
HD 148427 b,413.17900,71.3499000
HD 149026 b,120.77540,75.8643000
HD 149143 b,422.71390,73.2801000
HD 149806 b,3878.07724,20.2727000
HD 150010 b,762.78818,144.4900000
HD 1502 b,874.03250,190.9530000
HD 150706 b,861.28000,28.2697000
HD 151450 b,37.24604,43.6002000
HD 151450 c,1634.10971,43.6002000
HD 152079 b,845.74563,87.8888000
HD 152581 b,594.02427,165.7600000
HD 152843 b,11.56000,107.8980000
HD 152843 c,27.50000,107.8980000
HD 15337 b,7.51000,44.8155000
HD 15337 c,8.11000,44.8155000
HD 153557 b,20.05856,17.9412000
HD 153557 c,17.30766,17.9412000
HD 153557 d,8680.48112,17.9412000
HD 153950 b,937.59850,48.4549000
HD 154088 b,6.60000,18.2692000
HD 154345 b,260.62060,18.2840000
HD 154672 b,1706.74710,63.0484000
HD 154857 b,778.68350,63.4482000
HD 154857 c,819.97000,63.4482000
HD 155193 b,238.37131,57.7995000
HD 155233 b,826.35800,74.2309000
HD 155358 b,314.65170,43.6197000
HD 155358 c,261.00000,43.6197000
HD 155918 b,7.50192,27.5610000
HD 155918 c,1849.85628,27.5610000
HD 156098 b,17.14419,48.2490000
HD 156098 c,1661.50392,48.2490000
HD 156279 b,2995.22334,36.1945000
HD 156279 c,3207.01405,36.1945000
HD 156411 b,235.18000,56.8655000
HD 156668 b,4.15000,24.3323000
HD 156668 c,31.49680,24.3323000
HD 156846 b,3391.24610,47.7332000
HD 158038 b,486.27990,94.8625000
HD 158259 b,2.22000,27.0498000
HD 158259 c,5.60000,27.0498000
HD 158259 d,5.41000,27.0498000
HD 158259 e,6.08000,27.0498000
HD 158259 f,6.14000,27.0498000
HD 158996 b,4449.62000,283.6590000
HD 159243 b,359.13000,73.3055000
HD 159243 c,603.90000,73.3055000
HD 159868 b,704.94694,55.8503000
HD 159868 c,244.09344,55.8503000
HD 1605 b,296.85322,88.8047000
HD 1605 c,1150.54460,88.8047000
HD 160691 b,1366.66215,15.5981000
HD 160691 c,1398.44499,15.5981000
HD 160691 d,10.17000,15.5981000
HD 160691 e,2224.79885,15.5981000
HD 161178 b,181.16219,107.1880000
HD 16141 b,82.63580,37.7861000
HD 16175 b,1620.93300,59.8590000
HD 162020 b,3127.44720,30.8248000
HD 163607 b,249.05159,67.7855000
